ai.yavar.mavencl	copper-ai-android-sdk	0.0.1		N/A
com.liferay	com.liferay.portal.settings.authentication.cas.web	2.0.8		3f3115527d9fc33c0ac237afb4e85e8d104c065b
com.liferay	com.liferay.portal.settings.authentication.cas.web	2.0.8	jspc	7a0add7c61b69671d26a4f0138fd3b05deb8c8b0
com.liferay	com.liferay.portal.settings.authentication.cas.web	2.0.9		525a334364b71a10dacad83b16d615aa9dffe948
com.liferay	com.liferay.portal.settings.authentication.cas.web	2.0.9	jspc	aaa403073b0a2d529891fbc5db07bd43b795368d
com.liferay	com.liferay.portal.settings.authentication.cas.web	3.0.0		63fdfbf227d78cc1d35c1e028b6ab300ba77f210
com.liferay	com.liferay.portal.settings.authentication.cas.web	3.0.0	jspc	ba9456f75f59aae298f9c20b922de7743976bcb3
com.liferay	com.liferay.portal.settings.authentication.cas.web	3.0.1		20403f1aa73505d605f2fd286870862a0d6da405
com.liferay	com.liferay.portal.settings.authentication.cas.web	3.0.1	jspc	5ca9c098d53057c4c2c61cd10b00119e96ef1c04
com.liferay	com.liferay.portal.settings.authentication.cas.web	3.0.10		6cce47344eb978608b7801453ddf722f21d4ff8c
com.liferay	com.liferay.portal.settings.authentication.cas.web	3.0.10	jspc	a6977a962e108f91b3be845658c499e9ae6f4a55
com.liferay	com.liferay.portal.settings.authentication.cas.web	3.0.11		1de215aaae762b613eb23c46b7a6544eee2099d0
com.liferay	com.liferay.portal.settings.authentication.cas.web	3.0.11	jspc	8ed9052f4a06e340ab1e1eaa013fcbc7bd13b0e6
com.liferay	com.liferay.portal.settings.authentication.cas.web	3.0.12		e1bdb0dd99d3bede54cad67bfe4f8b867ff0989a
com.liferay	com.liferay.portal.settings.authentication.cas.web	3.0.12	jspc	eb40676eef3460846a85d607a8ceebdb8dbd332c
com.liferay	com.liferay.portal.settings.authentication.cas.web	3.0.13		bcc515c6d58bf98fb9571e45ae24bcd90f7502ae
com.liferay	com.liferay.portal.settings.authentication.cas.web	3.0.13	jspc	453053179a4f8bc43ba6d6b8bbb13dd5439c08e3
com.liferay	com.liferay.portal.settings.authentication.cas.web	3.0.14		bf51c6444e712f5c72c1997e4ab0d084ee904b23
com.liferay	com.liferay.portal.settings.authentication.cas.web	3.0.14	jspc	5b398830ad7e425de47a3af30f13a2710c0c892b
com.liferay	com.liferay.portal.settings.authentication.cas.web	3.0.15		92e3fcd35b8649478c754334736588f4778d9e6f
