de.quantummaid.mapmaid.integrations	mapmaid-minimal-json	0.10.2		9472f4e1c2baba4c20b8e1ea08aa215e438aa3da
de.quantummaid.mapmaid.integrations	mapmaid-minimal-json	0.10.3		38310a81fd3c10d4618ecc2542588ee43741ffe2
de.quantummaid.mapmaid.integrations	mapmaid-minimal-json	0.10.4		4c218fdd505e64c57cdad29d572d7606e4adcaa7
de.quantummaid.mapmaid.integrations	mapmaid-minimal-json	0.10.6		69d8e99bb65d44d366d1e288781fb56bd390a805
de.quantummaid.mapmaid.integrations	mapmaid-minimal-json	0.10.7		f6268960b6a79f84a0f7c69cb772cf14a8ff0a60
de.quantummaid.mapmaid.integrations	mapmaid-minimal-json	0.10.8		b9611a863e4f571bbac202e63ad51d252076bd4e
de.quantummaid.mapmaid.integrations	mapmaid-minimal-json	0.10.9		e4d7d240da32e570a7e3862fdee4ae57c969461a
de.quantummaid.mapmaid.integrations	mapmaid-minimal-json	0.9.100		eb866c2bf11b231717c411dbcfa060840f9ce79b
de.quantummaid.mapmaid.integrations	mapmaid-minimal-json	0.9.102		cec0ed3150ddb9711a034b9fa5258cc17e308d75
de.quantummaid.mapmaid.integrations	mapmaid-minimal-json	0.9.103		5f566b7c314480443d97ae7621b4826d1d2ca9d6
de.quantummaid.mapmaid.integrations	mapmaid-minimal-json	0.9.104		39674f411c0e7fc7a7e1e3a229dd533b0b15c762
de.quantummaid.mapmaid.integrations	mapmaid-minimal-json	0.9.105		a1b6384db93548aeb3649815397e5f7a54ba8d6f
de.quantummaid.mapmaid.integrations	mapmaid-minimal-json	0.9.106		a9f9eb82ddd4768c8d8e361d61ce5a5fe3b48a21
de.quantummaid.mapmaid.integrations	mapmaid-minimal-json	0.9.107		e053323ecafa4ba475a46f38eb36a3a90baf2fda
de.quantummaid.mapmaid.integrations	mapmaid-minimal-json	0.9.108		1d4871841e566aad209265061fd8f97d84e9efb1
de.quantummaid.mapmaid.integrations	mapmaid-minimal-json	0.9.109		6e7fb0efbd2cff24fa3a56838856b10615658a88
de.quantummaid.mapmaid.integrations	mapmaid-minimal-json	0.9.110		248e92399df55539bb9d2acacce8ef3730d87a8a
de.quantummaid.mapmaid.integrations	mapmaid-minimal-json	0.9.111		cf089c759f1966cb73efda1e180f0c2c0327143f
de.quantummaid.mapmaid.integrations	mapmaid-minimal-json	0.9.112		0b682318e6256539b531bd61602b9ed8f5b7a8ee
de.quantummaid.mapmaid.integrations	mapmaid-minimal-json	0.9.113		ef9a3dfb056c69596dd85d36eadb49b3f83e5506
de.quantummaid.mapmaid.integrations	mapmaid-minimal-json	0.9.62		436b9389e1169b199cd562e8b233b38fc3ff1bab
de.quantummaid.mapmaid.integrations	mapmaid-minimal-json	0.9.63		a9c081048c9481277cfe6492ef09431b86ca644e
de.quantummaid.mapmaid.integrations	mapmaid-minimal-json	0.9.64		226013bf5a45b953233b0f1493b546529519264f
de.quantummaid.mapmaid.integrations	mapmaid-minimal-json	0.9.65		d5e47e3610e176b3e9ca94646f0c483d4c3f17b8
de.quantummaid.mapmaid.integrations	mapmaid-minimal-json	0.9.66		a41aa6968daedcef14dff8a1b49f04087176a141
de.quantummaid.mapmaid.integrations	mapmaid-minimal-json	0.9.67		5c65151f969fafab43390293bda8dc8237174090
de.quantummaid.mapmaid.integrations	mapmaid-minimal-json	0.9.69		95d52e6ee4985a1db9393f2b06847a6fc8481b79
de.quantummaid.mapmaid.integrations	mapmaid-minimal-json	0.9.70		caab6d17b4d94f7241d5a09d8c3a770e2dc9258d
de.quantummaid.mapmaid.integrations	mapmaid-minimal-json	0.9.71		68f47c3aa0c0174887bb0050fcb2af7949d69b2f
de.quantummaid.mapmaid.integrations	mapmaid-minimal-json	0.9.72		103e14ed077734bd33aeabca18489dfed0d34a30
de.quantummaid.mapmaid.integrations	mapmaid-minimal-json	0.9.74		3bc2cba5742ab20ce54c784a3838d3d45873994b
de.quantummaid.mapmaid.integrations	mapmaid-minimal-json	0.9.75		b6c5f06a21b53e67e42f7769acef7c46a3f5c679
de.quantummaid.mapmaid.integrations	mapmaid-minimal-json	0.9.76		bee5bf49c853b152ab620868bbf4e42c03a57a5b
de.quantummaid.mapmaid.integrations	mapmaid-minimal-json	0.9.78		e52cf8c3ace1e75944b82279551042d26ddd3040
de.quantummaid.mapmaid.integrations	mapmaid-minimal-json	0.9.79		1bdb1a5948a82e62d4e58ec10dd7a29a3b1b3058
de.quantummaid.mapmaid.integrations	mapmaid-minimal-json	0.9.80		e3d5d52ccef8e447a0781461a1648b3f04787f30
de.quantummaid.mapmaid.integrations	mapmaid-minimal-json	0.9.81		db72268e97a05eab54424084c5d8e9547c4c72c7
de.quantummaid.mapmaid.integrations	mapmaid-minimal-json	0.9.82		e846a85684ae23047dd4da0d61485d1880f79e88
de.quantummaid.mapmaid.integrations	mapmaid-minimal-json	0.9.83		eac536fef7c9d672f8a5e700de354ad904e13721
de.quantummaid.mapmaid.integrations	mapmaid-minimal-json	0.9.84		2f3b8704f1122200ed5703cf588abd7a1209eb79
de.quantummaid.mapmaid.integrations	mapmaid-minimal-json	0.9.86		3f446cc4eeedc860892245198a6f14c2602a5e26
de.quantummaid.mapmaid.integrations	mapmaid-minimal-json	0.9.87		7c9be0cd9dd32cf5dc927c03fbe3670e3985dd6d
de.quantummaid.mapmaid.integrations	mapmaid-minimal-json	0.9.88		0b9b6f06ac3d25063471ea8b3faf46d35f18875c
de.quantummaid.mapmaid.integrations	mapmaid-minimal-json	0.9.89		681bb8ca5e92d3251f50db90356081075dda49cf
de.quantummaid.mapmaid.integrations	mapmaid-minimal-json	0.9.91		6ae77e3b41b14d5a32f4da578e07e21048962d5e
de.quantummaid.mapmaid.integrations	mapmaid-minimal-json	0.9.92		3b30377bdb212f7ac20abf8c6e74363e62b633e6
de.quantummaid.mapmaid.integrations	mapmaid-minimal-json	0.9.93		53c50d384202718c9ceb76a1c1170798d5c787b1
de.quantummaid.mapmaid.integrations	mapmaid-minimal-json	0.9.94		41fdf43946878f77beabc92dc9a768c48fb57d3a
de.quantummaid.mapmaid.integrations	mapmaid-minimal-json	0.9.95		b71ae6824495cffb0045b536fd5d96d5f747bf07
de.quantummaid.mapmaid.integrations	mapmaid-minimal-json	0.9.96		2a09543bfd1a6c8c1a4b081f942f16b3bcecfb0e
de.quantummaid.mapmaid.integrations	mapmaid-minimal-json	0.9.97		622912c873ded90b35b09a2d32add8acb1478904
de.quantummaid.mapmaid.integrations	mapmaid-minimal-json	0.9.98		32b25e8e4b3c6727db6452398f3f35d9218c5a5f
de.quantummaid.mapmaid.integrations	mapmaid-minimal-json	0.9.99		0c35784a108e0b0a568d085a8723362c4a519711
dev.kord.cache	cache-api-linuxarm64	0.5.0		N/A
dev.kord.cache	cache-api-linuxarm64	0.5.1		N/A
dev.kord.cache	cache-api-linuxarm64	0.5.3		N/A
dev.kord.cache	cache-api-linuxarm64	0.5.4		N/A
dev.kord.cache	cache-api-linuxarm64	0.5.6		N/A
dev.kord.cache	cache-api-linuxarm64	unspecified		N/A
dev.zio	zio-logging-slf4j2_3	2.1.10		fb8667bddd0c8559b0e9845aa8b3a168a4a4774d
dev.zio	zio-logging-slf4j2_3	2.1.11		41d4eb1e34d12a946077f6f02b90592bf2fabfec
dev.zio	zio-logging-slf4j2_3	2.1.12		77061dcab306c8350aaa1176ee9972b7a0b373b0
dev.zio	zio-logging-slf4j2_3	2.1.13		5d4d23af3c8849a36d395a2d68e2ab86639617f1
dev.zio	zio-logging-slf4j2_3	2.1.14		72e5c672d168087f65bc39c973eedcae9a42cbc2
dev.zio	zio-logging-slf4j2_3	2.1.15		7ecf9bfa4bc462ffcc9eae67281839d9d866076a
dev.zio	zio-logging-slf4j2_3	2.1.16		2dde273e0e6b96297381927adc973b284ab79d2a
dev.zio	zio-logging-slf4j2_3	2.1.17		a975ba03cff4abbf78589e138294660ceb12d21f
dev.zio	zio-logging-slf4j2_3	2.1.9		1baaa79c2da77f7e9186fbe2733a7b8e620492a8
dev.zio	zio-logging-slf4j2_3	2.2.0		ca23cf46c2252037525b6fc5ba365a3409344255
dev.zio	zio-logging-slf4j2_3	2.2.1		702c660b210b3417f28f2b0f827125e93c899996
dev.zio	zio-logging-slf4j2_3	2.2.2		a0fb7bf4982e9e7a8b0c75f1c7e71d9a8e908d96
dev.zio	zio-logging-slf4j2_3	2.2.3		0f420851b39a3e57f824ffa04e34ab471c4a9909
dev.zio	zio-logging-slf4j2_3	2.2.4		7aa73ae26e82dc8004e2dfeddd238422f16f99db
dev.zio	zio-logging-slf4j2_3	2.3.0		fc1be3a36d94b681f3ba5a4ae3c9e2bc2adaab86
