com.liferay	com.liferay.users.admin.demo.data.creator.impl	5.0.9		06e6527e87a0444cccee3e564926d59f03563706
com.lihaoyi	mill-libs-scalajslib-worker-api_3	0.13.0-M2		14e46ae72eb84e2d24799b6d0a04200206c3ddfe
com.lihaoyi	mill-libs-scalajslib-worker-api_3	0.13.0-M2-19-7fbdc2		9d5e3d0f2ddfedf6e21c0e3e7d640b66d88d1ce7
com.lihaoyi	mill-libs-scalajslib-worker-api_3	0.13.0-M2-27-fce393		1a79fef3db696f687407823b74de8e17f9a80ce8
com.lihaoyi	mill-libs-scalajslib-worker-api_3	0.13.0-M2-28-ba2985		f4e0d8a7d2b6821b1445c9799904f15ce18cbcf4
com.lihaoyi	mill-libs-scalajslib-worker-api_3	0.13.0-M2-29-d4e08d		6ddcfd0f1b1fb7d384e46766f1ec2f80ef585bfb
com.lihaoyi	mill-libs-scalajslib-worker-api_3	0.13.0-M2-33-c98221		d099eebd1efb2c53e68ac198220b0beb2907a907
com.lihaoyi	mill-libs-scalajslib-worker-api_3	0.13.0-M2-39-4c3eb7		b0c90d03185f2a236f6586221b2f28129acd3252
com.lihaoyi	mill-libs-scalajslib-worker-api_3	0.13.0-M2-41-b39ce4		f1ccf7846afba42f1ca815bc925b2532c9ac876f
com.lihaoyi	mill-libs-scalajslib-worker-api_3	0.13.0-M2-42-a720c3		add980ec74c210cf5a21aea2cf06710a7ecab9f7
com.meowool	mmkv-compiler	0.1.0		7f1ee025ec5f1c67c58dc749319442cb96743549
com.meowool	mmkv-compiler	0.1.1		0a93952e3475f4279d6a959c8bc5556e40809fbe
com.meowool	mmkv-compiler	0.1.2		f4c6189c4f71b991d1bf74c4cfdd2dd4d91a1834
com.meowool	mmkv-compiler	0.1.3		d72f5a41b42843683f7b64097c1e8e1c0093f44f
com.meowool	mmkv-compiler	0.1.4		916fd8eab6965be52cc46ae070b9ef7daea01439
com.meowool	mmkv-compiler	0.1.5		f3d94362a84da1b8868e6457a92206496667a1e0
com.meowool	mmkv-compiler	0.1.6		49c5cdd07f08e444668fc6c1db39b15fdd16a9f3
com.meowool	mmkv-compiler	0.1.7		8e24792a727bd5076ca1fcb911e62e96cf1cef89
com.meowool	mmkv-compiler	0.1.8		3de776912aa0bf718962e5917e799b13cb00a0b4
com.microsoft.azure	azure-bom	0.6.0		N/A
com.microsoft.azure	azure-bom	0.7.0		N/A
com.microsoft.azure	azure-bom	0.8.0		N/A
com.microsoft.azure	azure-bom	0.8.1		N/A
com.microsoft.azure	azure-bom	0.8.2		N/A
com.microsoft.azure	azure-bom	0.8.3		N/A
com.microsoft.azure	azure-bom	0.9.0		N/A
com.microsoft.azure	azure-bom	0.9.1		N/A
com.microsoft.azure	azure-bom	0.9.2		N/A
com.microsoft.azure	azure-bom	0.9.3		N/A
com.microsoft.azure	azure-bom	0.9.4		N/A
com.microsoft.azure	azure-bom	0.9.5		N/A
com.microsoft.azure	azure-bom	0.9.6		N/A
com.microsoft.azure	azure-bom	0.9.7		N/A
com.microsoft.azure	azure-bom	0.9.8		N/A
com.microsoft.azure	azure-bom	1.0.0-beta1		N/A
com.microsoft.azure	azure-bom	1.0.0.M1		N/A
com.mydataharbor	jdbc-hive-2.2.x-plugin	1.1.1		50c5ea56dff587dcfbdd26b24f867d4682ec2566
com.mydataharbor	jdbc-hive-2.2.x-plugin	1.1.2		148e360935ef13179aa6fffba9a417464c65919b
com.mydataharbor	jdbc-hive-2.2.x-plugin	2.0.0		160ea8c0b02d61a8d845bd5192bd835f95ce608e
com.mydataharbor	jdbc-hive-2.2.x-plugin	2.0.1		e556dda349eb6011421c26230fddd1b70f899943
com.mydataharbor	jdbc-hive-2.2.x-plugin	2.0.2		0a8d326bc1624ef0f4b6afdd8d331c5a9df8d491
com.power4j.kit	redis-example	1.1.1		cc715c67a0d4275f623bd43957953ae800d83f81
com.power4j.kit	redis-example	1.2.0		b94f61e637be8c1eda47393602c065969b836567
com.power4j.kit	redis-example	1.3.0		3f2a55b31fbb2dccac3855ef0c61c93bb61ce452
com.power4j.kit	redis-example	1.4.0		b0d52e77ed9c4ba17237e60fb0c47805f8065933
com.power4j.kit	redis-example	1.5.0		d03eb99bacf115917b4aee37549b8db63d7e6338
com.power4j.kit	redis-example	1.5.1		b022443c451c00700acc818be2153783f6c61bdc
