com.github.alonsodomin.cron4s	cron4s-joda_2.12	0.4.4		d360ff77f633a848d22a7086a232ef8315735adc
com.github.alonsodomin.cron4s	cron4s-joda_2.12	0.4.5		0b14b3ed41e2641f225c261a7bb0ad25305e3607
com.github.alonsodomin.cron4s	cron4s-joda_2.12	0.5.0		1b83ea97097a6c50d546ccf67098a0a6f5534885
com.github.alonsodomin.cron4s	cron4s-joda_2.12	0.6.0		81e1feca3415244db5aecad2596aeae958a55d26
com.github.alonsodomin.cron4s	cron4s-joda_2.12	0.6.0-M2		ee19dc8988c8ccaa0a9998cfb6c4f4e7a94ab662
com.github.alonsodomin.cron4s	cron4s-joda_2.12	0.6.0-M3		6d5162bd4fe45a6bb817018e554c33bfd3391d77
com.github.alonsodomin.cron4s	cron4s-joda_2.12	0.6.1		92a9b14e46a741a00f75f9cc4ae73355e6e31f1c
com.github.alonsodomin.cron4s	cron4s-joda_2.12	0.7.0		ee411a5c7ed233f21593a72f1cbee5dac971f973
com.github.alonsodomin.cron4s	cron4s-joda_2.12	0.8.0		382608ca671f631c3c1fd4a7d937a12c143ce91f
com.github.alonsodomin.cron4s	cron4s-joda_2.12	0.8.1		c8ff8889a54d0a81ab7de6ce83e738dd4115fb18
com.github.alonsodomin.cron4s	cron4s-joda_2.12	0.8.2		ee1faca6b87a066fac7d5aa01850fe45c97bb1ab
com.github.ansell.owlapi	owlapi-parsers	3.4.3.1-ansell		e4807b359de2d053a3b4df78011b94bbf7bdb441
com.github.ansell.owlapi	owlapi-parsers	3.4.3.2-ansell		fe9a8d68963f223c3e42b2768b028396f72df8c8
com.github.ansell.owlapi	owlapi-parsers	3.4.3.3-ansell		0bbc07e77bde5e2597c2e75b356623fabbb271ae
com.github.ansell.owlapi	owlapi-parsers	3.4.4.1-ansell		33759d57be879ee719383a3e6998318e0afc15d6
com.github.ansell.owlapi	owlapi-parsers	3.4.4.2-ansell		4e18fc2cbbf2d52315f234d543991849f5ac0a4c
com.github.ansell.owlapi	owlapi-parsers	3.4.4.3-ansell		82a1f00a54466baf4272bfe812ede1d07c934840
com.github.ansell.owlapi	owlapi-parsers	3.4.6.2-ansell		b90d498fb4d79b4231158aedabb714b8cc42ab31
com.github.ansell.owlapi	owlapi-parsers	3.4.9.1-ansell		3ac4893364cacf03cfebf1b33d468db0d3b6a188
com.github.ansell.owlapi	owlapi-parsers	3.4.9.2-ansell		d647d31549cf5bbe9560bbbd4d36bf7187f864f5
com.github.huangtianhua	leveldbjni-all	1.8		9fcc76da978b1e58ca71cecc33d13ccd23ef42bb
com.github.huangtianhua	leveldbjni-all	1.9		092981a7db25502730482d340213a44e1f40113d
com.github.jcustenborder.maven.plugins	wits-maven-plugin	0.1.1		62df2c0e4b775cd11c38c8630ffc09b678efffb4
com.github.jcustenborder.maven.plugins	wits-maven-plugin	0.1.2		f9c785c858c572fd67ce86b1153cb64f8d408665
com.google.cloud	google-cloud-private-catalog	0.1.0		f3d060f60f15a60f79ebb5c7a1f0f2ce8611ac9c
com.google.cloud	google-cloud-private-catalog	0.1.1		fee19647604a1fc6829e12d9d989b0fb8088863e
com.google.cloud	google-cloud-private-catalog	0.10.0		5c46946f863719ec5a04cb24af078b2d63de5e1e
com.google.cloud	google-cloud-private-catalog	0.11.0		2301f1200e6c3f6ed91f66548eb48e68117e148c
com.google.cloud	google-cloud-private-catalog	0.12.0		5ca6b4a101c9cb2781783e4ab916230714c505d2
com.google.cloud	google-cloud-private-catalog	0.13.0		75dfc46dd8a987bcb50f29d385fef08259d3c6d4
com.google.cloud	google-cloud-private-catalog	0.14.0		59241eb32acea530a4523a91e4ea5e57113b6556
com.google.cloud	google-cloud-private-catalog	0.15.0		f78519c14d02e03a281309a29e6feb72ff1d6953
com.google.cloud	google-cloud-private-catalog	0.16.0		16772c59d09f16b4e378b6844257fdccc9e6cb86
com.google.cloud	google-cloud-private-catalog	0.17.0		a9b97dd0aa33bd878c0b60e3c7cd9d5d2e384ed6
com.google.cloud	google-cloud-private-catalog	0.18.0		b0f71ba65abb6aaa0dff4e5ab4fdb2836f3abdb8
com.google.cloud	google-cloud-private-catalog	0.19.0		31a5d205ede4879b2e98797f4fd3b6c62f57bad9
com.google.cloud	google-cloud-private-catalog	0.2.0		26e590bf4e62b6f9a1ebd5c1aff293e0657ebab2
com.google.cloud	google-cloud-private-catalog	0.20.0		25e1900ff8c075a28defe2dcf97e111787c54ffb
com.google.cloud	google-cloud-private-catalog	0.21.0		dbb2694f199eee582f0d4d4494b0c643ea10fc2d
com.google.cloud	google-cloud-private-catalog	0.22.0		d0de7ffe8483dfd31d3f6546b72ecc17befbdc52
com.google.cloud	google-cloud-private-catalog	0.23.0		8850294c5b9466e744ace98a2c8010ee49893ace
com.google.cloud	google-cloud-private-catalog	0.24.0		c7d5666df7e86d3051087a272e088568da21496e
com.google.cloud	google-cloud-private-catalog	0.25.0		a541c390c9a2ad97ec17bf18ae7722625668c8c7
com.google.cloud	google-cloud-private-catalog	0.26.0		980df4a6c29d5b91bda1ebcb605a31a84e1f864a
com.google.cloud	google-cloud-private-catalog	0.29.0		33fe1df1449f6dabcc6fca2adf283d6716923da5
com.google.cloud	google-cloud-private-catalog	0.3.0		f1a4a01ad9b9a4f7d4bacce4f90bde72fcc7fa9b
