com.liferay	com.liferay.site.initializer.raylife.ap.extra.remote.app	20221028.0116		N/A
com.liferay	com.liferay.site.initializer.raylife.ap.extra.remote.app	20221103.0111		N/A
com.liferay	com.liferay.site.initializer.raylife.ap.extra.remote.app	20230112.2056		N/A
com.liferay	com.liferay.site.initializer.raylife.ap.extra.remote.app	20230112.2104		N/A
com.liferay	com.liferay.site.initializer.raylife.ap.extra.remote.app	20230112.2238		N/A
com.liferay	com.liferay.site.initializer.raylife.ap.extra.remote.app	20230123.1824		N/A
com.liferay	com.liferay.site.initializer.raylife.ap.extra.remote.app	20230128.0433		N/A
com.liferay	com.liferay.site.initializer.raylife.ap.extra.remote.app	20230205.0432		N/A
com.liferay	com.liferay.site.initializer.raylife.ap.extra.remote.app	20230208.1826		N/A
com.liferay	com.liferay.site.initializer.raylife.ap.extra.remote.app	20230210.1448		N/A
com.liferay	com.liferay.site.initializer.raylife.ap.extra.remote.app	20230306.0843		N/A
com.liferay	com.liferay.site.initializer.raylife.ap.extra.remote.app	20230309.2145		N/A
com.liferay	com.liferay.site.initializer.raylife.ap.extra.remote.app	20230322.1438		N/A
com.liferay	com.liferay.site.initializer.raylife.ap.extra.remote.app	20230405.1905		N/A
com.liferay	com.liferay.site.initializer.raylife.ap.extra.remote.app	20230407.1649		N/A
com.liferay	com.liferay.site.initializer.raylife.ap.extra.remote.app	20230413.1340		N/A
com.liferay	com.liferay.site.initializer.raylife.ap.extra.remote.app	20230419.0454		N/A
com.liferay	com.liferay.site.initializer.raylife.ap.extra.remote.app	20230420.1714		N/A
com.liferay	com.liferay.site.initializer.raylife.ap.extra.remote.app	20230426.1721		N/A
com.liferay	com.liferay.site.initializer.raylife.ap.extra.remote.app	20230505.0744		N/A
com.liferay	com.liferay.site.initializer.raylife.ap.extra.remote.app	20230512.0609		N/A
com.liferay	com.liferay.site.initializer.raylife.ap.extra.remote.app	20230601.1530		N/A
com.liferay	com.liferay.site.initializer.raylife.ap.extra.remote.app	20230608.1017		N/A
com.liferay	com.liferay.site.initializer.raylife.ap.extra.remote.app	20230720.1732		N/A
com.liferay	com.liferay.site.initializer.raylife.ap.extra.remote.app	20230801.1154		N/A
com.liferay	com.liferay.site.initializer.raylife.ap.extra.remote.app	20230810.0030		N/A
com.liferay	com.liferay.site.initializer.raylife.ap.extra.remote.app	20230810.0043		N/A
