beehive	beehive-netui-tags-template	1.0-alpha		107d9b918241826488bcf34a6a1cee5b7a142d70
com.51degrees	device-detection.shared	4.4.91		c70d2bc8bab28fba229f1513f55686ed9ea6a539
com.51degrees	device-detection.shared	4.4.92		4b41129a0b4f359b2e345cb4ce34f0963e7ea5dd
com.51degrees	device-detection.shared	4.4.93		9bcc1ccedcc708d759d3b14a52011917e56f3402
com.51degrees	device-detection.shared	4.4.94		66bf59d2af3e05b553cd3713701b98e0aa160cde
com.51degrees	device-detection.shared	4.4.95		2fe14be3fe909a82dbd9cd756a06b97a2179be2c
com.51degrees	device-detection.shared	4.4.96		69630727516d54b84a0870131f1c208a6f9383db
com.51degrees	device-detection.shared	4.4.97		0e307512a565f47af5e79a36bb0b2bbc2ae2dedd
com.51degrees	device-detection.shared	4.4.98		e34518cd00924c7f09989368c1f489b00360f246
com.51degrees	device-detection.shared	4.4.99		f66f8cdad96fa1a704ff036904f403b2f39a04ca
com.51degrees	device-detection.shared	4.5.0-alpha.277		4810834ec842c17fd12e574f3fa54cfe9fff4f9e
com.51degrees	device-detection.shared	4.5.0-alpha.279		f59a0a2d8530ac247f2ae97419ae63ec8ad49b36
com.51degrees	device-detection.shared	4.5.0-alpha.281		b7aa8242bc5897b35af8155e2fb9c83cf5536aa0
com.51degrees	device-detection.shared	4.5.0-alpha.283		0e9c39ca16e2bcc3369eb2b3322e8bfa3a0814bb
com.51degrees	device-detection.shared	4.5.0-alpha.285		237514f3bc72aadd08e73008fc46bfe42cbb1915
com.51degrees	device-detection.shared	4.5.0-alpha.287		6ea20d6a09099f5f1f425aed916fce927cc63861
com.51degrees	device-detection.shared	4.5.0-alpha.310		22ca7956314996c213c95c2be8f5b3535561425a
com.51degrees	device-detection.shared	4.5.0-alpha.311		714e8ec292459b043ecab5c3b9b8653ff2922af7
com.51degrees	device-detection.shared	4.5.0-alpha.312		73988617491572abdb1a0781ab928a48f01a7a63
com.51degrees	device-detection.shared	4.5.0-alpha.313		28996bf456997727c49b3775eda005ee6bcbacbe
com.51degrees	device-detection.shared	4.5.0-alpha.314		ffc37b5816b944bb2ddbb3c743308fd887a941ec
com.51degrees	device-detection.shared	4.5.0-alpha.316		ab505cb0551ca1c63d511283132d4f04455c9ad8
com.51degrees	device-detection.shared	4.5.0-alpha.318		19e12813311412c30669bea35f40dad82c4eeef5
com.51degrees	device-detection.shared	4.5.0-alpha.319		75b86e3ce58f15dc5ae48db01546c369f25cd731
com.51degrees	device-detection.shared	4.5.0-alpha.320		e69c1c1e351988f1c5a24120e9588a20a5cd72bc
