io.eventuate.tram.sagas	orders-and-customers-micronaut	0.16.0.RELEASE		3b7ef9e09d1de5ed993a0e4df07c1aeba67aad5b
io.eventuate.tram.sagas	orders-and-customers-micronaut	0.17.0.RELEASE		a1caf6aa224c83813a688ab78294358888c0e25f
io.eventuate.tram.sagas	orders-and-customers-micronaut	0.18.0.RELEASE		c6fb2d08c5bf69315d0351311a9be8ac36abe3a5
io.eventuate.tram.sagas	orders-and-customers-micronaut	0.19.0.RELEASE		a44f24c556fb7203706f08ff781abe38587bf0fc
io.eventuate.tram.sagas	orders-and-customers-micronaut	0.20.0.RELEASE		164271cb5b6687bc5a4a8d2bf89ca8ae3bacf21a
io.eventuate.tram.sagas	orders-and-customers-micronaut	0.21.0.RELEASE		e5e68640994bec7d282766de4e2d874278009ee3
io.eventuate.tram.sagas	orders-and-customers-micronaut	0.22.0.RELEASE		5d85eebea274d2ec33bb8c378a5c668adb47ef2c
io.eventuate.tram.sagas	orders-and-customers-micronaut	0.23.0.RELEASE		dafbea9527702e2891d67b9e7efb0398f5331b2a
io.eventuate.tram.sagas	orders-and-customers-micronaut	0.24.0.RELEASE		7ce6940a0fe56f4707dad8809386f8036ed77898
io.eventuate.tram.sagas	orders-and-customers-micronaut	0.25.0.RELEASE		35d4fd15aaf6ece5b7e88d529f7b9d36faa0d18b
io.github.marmer.testutils	hamcrest-matcher-generator-annotationprocessor	4.0.0		4eada2ba923875ac812dda1997b0f64708b30b3c
io.github.marmer.testutils	hamcrest-matcher-generator-annotationprocessor	4.0.1		fdc5eadf422654a860816262d55edb90ee505252
io.github.marmer.testutils	hamcrest-matcher-generator-annotationprocessor	4.0.2		6618326389df5cba75189ff6cf435a21a9c1f594
io.github.marmer.testutils	hamcrest-matcher-generator-annotationprocessor	4.0.3		a2f0648512a825063da90df6822e22358c527cb6
io.github.marmer.testutils	hamcrest-matcher-generator-annotationprocessor	4.0.4		2eb2a9385c64d416d8a15c5b9e2fc83d91e7972d
io.github.marmer.testutils	hamcrest-matcher-generator-annotationprocessor	4.0.5		24dfb3de51848065e1d897231f5bb617c59d8afb
