com.google.cloud.sql	jdbc-socket-factory-core	1.3.0		8e3e778d2707dbf6a0b03bd4234cd4c815713251
com.google.cloud.sql	jdbc-socket-factory-core	1.3.1		09076ff95f28231402aa67ce90546153fbdb675c
com.google.cloud.sql	jdbc-socket-factory-core	1.3.2		7a905784108cda2a5e7e86ba42924f346cb09144
com.google.cloud.sql	jdbc-socket-factory-core	1.3.3		cee2ebe6bb87ecc7bba2f96a1251d39ff138611b
com.google.cloud.sql	jdbc-socket-factory-core	1.3.4		cda24fa9bbe01bcb48d35318170e872f90309754
com.google.cloud.sql	jdbc-socket-factory-core	1.4.0		fd69466dccd7e8f94fa663daec6ad71e8b110308
com.google.cloud.sql	jdbc-socket-factory-core	1.4.1		f298eb186f743cd59701b6e7a646af3875ce212c
com.google.cloud.sql	jdbc-socket-factory-core	1.4.2		2e3e9b3a8802fc8cab2a0efa752247943a65ede6
com.google.cloud.sql	jdbc-socket-factory-core	1.4.3		febd93c3970e69c7a8324debdd962565094ef469
com.google.cloud.sql	jdbc-socket-factory-core	1.4.4		e5a3ad309e46ad04b789045d6864d00f0b1ba8b1
com.google.cloud.sql	jdbc-socket-factory-core	1.5.0		3120b30937831d2572a775df90c27e0405a7b75b
com.google.cloud.sql	jdbc-socket-factory-core	1.6.0		d35f03d01483dc52298bc6d30a8a6c7d92b588c0
com.google.cloud.sql	jdbc-socket-factory-core	1.6.1		157797effa7090c465952369835410f0e58d6eed
com.google.cloud.sql	jdbc-socket-factory-core	1.6.2		81ec7ebb8f4d5dac0272dd47bdea2d20fe9ecec9
com.google.cloud.sql	jdbc-socket-factory-core	1.6.3		9d912575a6fa65604effebd7a22d74d0088a806f
com.google.cloud.sql	jdbc-socket-factory-core	1.7.0		704861590cc4683beb44d1effe02b84c0274c48e
com.google.cloud.sql	jdbc-socket-factory-core	1.7.1		78ff2e81fcc07e755c85e04c0dff2410b405570f
com.google.cloud.sql	jdbc-socket-factory-core	1.7.2		957bffc44541cf3be82c150967a558bd68e7d828
com.google.cloud.sql	jdbc-socket-factory-core	1.8.0		af955eb4cab42af9949ee3158f06bd9bbc0d6578
com.google.cloud.sql	jdbc-socket-factory-core	1.8.1		ceddad52dba71260defa57a91ad0982193495c3e
com.google.cloud.sql	jdbc-socket-factory-core	1.8.2		b438fa599a3ff877369cc498e8e2ee24efd5dcbb
com.google.cloud.sql	jdbc-socket-factory-core	1.8.3		f0008948445be566b6b96e8e3edba77cb47ecb5c
com.google.cloud.sql	jdbc-socket-factory-core	1.9.0		0364207b25efee628eecc444ad1c8f9c383d1f1d
com.gu	identity-test-users_2.10	0.1		cbf3ea2d6d3293ce0df5c31bdaecd15784b6dd63
com.gu	identity-test-users_2.10	0.2		10efc34b982424d22c6950d9a0b3d8faf0d3b7ad
com.gu	identity-test-users_2.10	0.3		8ee07788d7c1561d4d7350012aa49c6da5e0a9d6
com.gu	identity-test-users_2.10	0.4		bd28040d65aa0627fab5473fd4fee0d40965a2db
com.gu	identity-test-users_2.10	0.5		4a5fc7d444eea508190751a13c462a02e547df57
com.liferay.commerce	com.liferay.commerce.frontend.js	1.0.0		a0ed0ff16d7d0cb5c3160739bf3397b6e62ce82f
com.liferay.commerce	com.liferay.commerce.frontend.js	1.0.0	jsdoc	aa9405fe69433bfb3bcf4c707ebc65e7196701ce
com.liferay.commerce	com.liferay.commerce.frontend.js	1.0.1		24f55763dadcd3f752b223d4fc12c12c1e2bf419
com.liferay.commerce	com.liferay.commerce.frontend.js	1.0.1	jsdoc	52e6b39c6322965d74a628655186b46aefd3bc72
com.liferay.commerce	com.liferay.commerce.frontend.js	1.0.10		21d28a5b1c2e68109ab994d83ebb3e0172c17b01
com.liferay.commerce	com.liferay.commerce.frontend.js	1.0.10	jsdoc	d730bbfcabe41b73fff4f377e12c75dd55b79bc5
com.liferay.commerce	com.liferay.commerce.frontend.js	1.0.11		c2fad8de93dd3fe877d0bbe3d4ac58a710ab4d9a
com.liferay.commerce	com.liferay.commerce.frontend.js	1.0.11	jsdoc	e5cb304feae67c08c6cb6d9aaa249637e5f142bb
com.liferay.commerce	com.liferay.commerce.frontend.js	1.0.12		f7399a0904924ff33df27394a2582563b49657cc
com.liferay.commerce	com.liferay.commerce.frontend.js	1.0.12	jsdoc	e65f2138cd3fbd47428ddb778ad06a8bcf2abd95
com.liferay.commerce	com.liferay.commerce.frontend.js	1.0.13		c3ecbac6ee10772f49084eae4615be9308edcefd
com.liferay.commerce	com.liferay.commerce.frontend.js	1.0.13	jsdoc	ab328fccb5d35f7dc9d1b2b5d6b1abdeeedc7ac6
