com.twitter	util-security_2.12	7.0.0		7b1f7a389011c08f41cc9d6bcc23383470b20ca1
com.twitter	util-security_2.12	7.1.0		83ccd0fc4b97c824a7df07b790bb1a511a94c08b
de.hu-berlin.german.korpling.annis	annis-service	3.3.0		d1311a4280936a103a9980fe3e255de979a98f12
de.hu-berlin.german.korpling.annis	annis-service	3.3.1		10995d57018e4762637244aa3618b42d2fb4880d
de.hu-berlin.german.korpling.annis	annis-service	3.3.2		cca6dddc6524e5ab1b794947536d13c54a8460a2
de.hu-berlin.german.korpling.annis	annis-service	3.3.3		7dcdf9bc0376044abab4e4d6a8961a13abf99eea
de.hu-berlin.german.korpling.annis	annis-service	3.3.4		12df5bd686c718e4290aa22816d8cb873772307a
de.hu-berlin.german.korpling.annis	annis-service	3.3.5		0502a9604e413b99425756abbc673c6be2fbb509
de.hu-berlin.german.korpling.annis	annis-service	3.3.6		b40d0b0cb0f35216146a6c4fce12189be0481f0f
de.hu-berlin.german.korpling.annis	annis-service	3.4.0		876de5fee25cb74547a08e05e00ad9aada0ec2fb
de.hu-berlin.german.korpling.annis	annis-service	3.4.0-preview1		da5faee969ee42648160ab899c22298c1bb36cf0
de.hu-berlin.german.korpling.annis	annis-service	3.4.0-preview10		80cc602d940330cd4bce5a31b96f5bc8187a2e77
de.hu-berlin.german.korpling.annis	annis-service	3.4.0-preview2		502ac93674900938592534950fb645bfdabd34c5
de.hu-berlin.german.korpling.annis	annis-service	3.4.0-preview3		d0b1e7b41f6d3bfdd76df09a94659bd3be04f3be
de.hu-berlin.german.korpling.annis	annis-service	3.4.0-preview4		0c938b39f3105c2e95a4df92e293e984d75b10c1
de.hu-berlin.german.korpling.annis	annis-service	3.4.0-preview5		6c52b909648d90cae6c481c49c65bc57c837eb65
de.hu-berlin.german.korpling.annis	annis-service	3.4.0-preview6		cf0c4e5263596a57db4e15222ab606f314486b93
de.hu-berlin.german.korpling.annis	annis-service	3.4.0-preview7		142e7e1c2e536a7cf78a829c106d58f1bbde4324
de.hu-berlin.german.korpling.annis	annis-service	3.4.0-preview8		03a7cb22289f62885ad073addf589f22545d40db
de.hu-berlin.german.korpling.annis	annis-service	3.4.0-preview9		ef37352d5fa5502de5609705c6637be896e28f73
de.hu-berlin.german.korpling.annis	annis-service	3.4.0-rc1		ef412f17683c9f23079b9629f4dff653a0131555
de.hu-berlin.german.korpling.annis	annis-service	3.4.0-rc2		4b37b4493e5191ef3dbb7f957deb20c4b1856501
de.hu-berlin.german.korpling.annis	annis-service	3.4.0-rc3		06393ac7e9cb19e9889d310859ab72a20b8a1c32
de.hu-berlin.german.korpling.annis	annis-service	3.4.0-rc4		232fc8656a4e2d756fb5f49c885403d06edf489e
de.hu-berlin.german.korpling.annis	annis-service	3.4.0-rc5		c0e7dd24bf124235eaf6dc03f75ec50927cab9a3
de.hu-berlin.german.korpling.annis	annis-service	3.4.1		da858df93b54a97a856b1c5e9e3afcff05e0ea0d
de.hu-berlin.german.korpling.annis	annis-service	3.4.2		3235b2e52b22390937ba0e2dbb2edf40d04a287d
de.hu-berlin.german.korpling.annis	annis-service	3.4.3		358176658e574aa8a24a5abc6d9351083776361f
de.hu-berlin.german.korpling.annis	annis-service	3.4.4		af2786021bcfd4f2c187bf0c0f4f7b2a31280b3d
